,acc,bal_acc,mcc,f1_macro,f1_micro,f1_weighted,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_score_class_0,f1_score_class_1,sample_class_0,sample_class_1
german-toxicity-classifier,0.8410521159874607,0.8410455974842768,0.6824813043366806,0.8410016412282308,0.8410521159874607,0.841003503509907,0.8414359585997573,0.8410521159874607,0.8414331450708671,0.8410455974842768,0.8410521159874607,0.8410521159874607,0.8498589028608198,0.8330130143386949,0.8285062893081762,0.8535849056603773,0.8389326997435793,0.8430705827128822,159.8,159.8
electra-german-uncased,0.8404349529780564,0.8404402515723269,0.6850838736105771,0.8399563878060385,0.8404349529780564,0.8399568683416463,0.8446966843976677,0.8404349529780564,0.8447029584148673,0.8404402515723269,0.8404349529780564,0.8404349529780564,0.8716501109533217,0.8177432578420136,0.802248427672956,0.8786320754716981,0.8338326858734508,0.8460800897386264,159.8,159.8
deepset-gbert-base,0.8304251567398119,0.8304795597484278,0.6660511551964101,0.8295770085342735,0.8304251567398119,0.8295687719123637,0.835624262098668,0.8304251567398119,0.8356625703314897,0.8304795597484278,0.8304251567398119,0.8304251567398119,0.8326202015151095,0.8386283226822266,0.8385927672955976,0.8223663522012579,0.8325084110186529,0.8266456060498941,159.8,159.8
xlm-roberta-t-systems,0.8222746865203762,0.8222720125786163,0.6469436725216575,0.8219223301375489,0.8222746865203762,0.8219242620720559,0.8246772629222896,0.8222746865203762,0.8246783964858759,0.8222720125786163,0.8222746865203762,0.8222746865203762,0.8511705340054299,0.7981839918391491,0.7809433962264151,0.8636006289308176,0.8143733688839253,0.8294712913911727,159.8,159.8
dbmdz-bert-base-german-uncased,0.7647746865203762,0.7648624213836479,0.5362896333667029,0.7306024977097542,0.7647746865203763,0.7305864633935902,0.7215067133256715,0.7647746865203762,0.7215652562653052,0.7648624213836479,0.7647746865203762,0.7647746865203762,0.6982636311782043,0.7447497954731388,0.6260691823899371,0.9036556603773584,0.6571152835447147,0.8040897118747935,159.8,159.8
