,acc,bal_acc,mcc,f1_macro,f1_micro,f1_weighted,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,precision_class_0,precision_class_1,recall_class_0,recall_class_1,f1_score_class_0,f1_score_class_1,sample_class_0,sample_class_1
electra-german-uncased,0.8460815047021943,0.8461084905660379,0.6937536613044939,0.8459356602825572,0.8460815047021943,0.8459327629553075,0.847648989128978,0.8460815047021943,0.847670581643022,0.8461084905660379,0.8460815047021943,0.8460815047021943,0.8656096218768858,0.8296883563810702,0.8210534591194969,0.8711635220125785,0.8423076083884604,0.849563712176654,159.8,159.8
deepset-gbert-base,0.844194749216301,0.8441981132075472,0.6892632997648329,0.8440789556125973,0.844194749216301,0.8440790049091129,0.845066608241795,0.844194749216301,0.8450700747540905,0.8441981132075472,0.844194749216301,0.844194749216301,0.8512098164058172,0.8389234000777728,0.8348034591194968,0.8535927672955974,0.8424286528439614,0.8457292583812329,159.8,159.8
german-toxicity-classifier,0.8435560344827586,0.8435416666666666,0.6889234643580512,0.8433472849209144,0.8435560344827586,0.8433503631807984,0.8453853947868186,0.8435560344827586,0.845377028316131,0.8435416666666666,0.8435560344827586,0.8435560344827586,0.8687742278364212,0.8219965617372165,0.8097405660377358,0.8773427672955976,0.8380537957829028,0.8486407740589257,159.8,159.8
xlm-roberta-t-systems,0.8279271159874607,0.8279559748427673,0.6569414791156025,0.8277925996511211,0.8279271159874607,0.8277885066763195,0.8289864340355265,0.8279271159874607,0.8290071554062346,0.8279559748427673,0.8279271159874607,0.8279271159874607,0.835107899031995,0.8228649690390581,0.8198349056603774,0.836077044025157,0.826777541384353,0.8288076579178891,159.8,159.8
dbmdz-bert-base-german-uncased,0.7733483542319749,0.7730542452830188,0.5469510813117255,0.7397249333867266,0.7733483542319749,0.7399318033744319,0.7240549931729846,0.7733483542319749,0.7242265442298786,0.7730542452830188,0.7733483542319749,0.7733483542319749,0.6815897164335627,0.7665202699124064,0.6612500000000001,0.8848584905660377,0.6708253832814873,0.8086244834919661,159.8,159.8
