,full_name,party,twitter
278,Gyde Jensen, FDP,['https://twitter.com/gydej?lang=de']
279,Dr. Marc Jongen, AfD,['https://twitter.com/marc_jongen']
280,Andreas Jung, CDU/CSU,[]
281,Ingmar Jung, CDU/CSU,[]
282,Frank Junge, SPD,['https://twitter.com/jungeinberlin']
283,Josip Juratovic, SPD,['http://twitter.com/josip_juratovic']
284,Dr. Ann-Veruschka Jurisch, FDP,[]
285,Oliver Kaczmarek, SPD,['https://twitter.com/KaczmarekOliver']
286,Lamya Kaddor, Bündnis 90/Die Grünen,['https://twitter.com/LamyaKaddor']
287,Elisabeth Kaiser, SPD,['https://twitter.com/kaiser_spd']
288,Dr. Kirsten Kappert-Gonther, Bündnis 90/Die Grünen,[]
289,Macit Karaahmetoğlu, SPD,['https://twitter.com/macit_spd']
290,Anja Karliczek, CDU/CSU,[]
291,Carlos Kasper, SPD,[]
292,Anna Kassautzki, SPD,['https://twitter.com/annakassautzki']
293,Gabriele Katzmarek, SPD,['https://twitter.com/GabyKatzmarek']
294,Dr. Malte Kaufmann, AfD,['https://twitter.com/MalteKaufmann']
295,Prof. Dr.-Ing. habil. Michael Kaufmann, AfD,['https://twitter.com/KaufmannAfD']
296,Rainer Johannes Keller," SPD
         **",[]
297,Michael Kellner, Bündnis 90/Die Grünen,['https://twitter.com/MiKellner']
298,Ronja Kemmer, CDU/CSU,['http://twitter.com/ronjakemmer']
299,Dr. Franziska Kersten, SPD,['https://twitter.com/FKerstenMdB']
300,Katja Keul, Bündnis 90/Die Grünen,['https://twitter.com/KatjaKeul']
301,Stefan Keuter, AfD,[]
302,Misbah Khan, Bündnis 90/Die Grünen,['https://twitter.com/Bina_Khan_']
303,Roderich Kiesewetter, CDU/CSU,['http://twitter.com/RKiesewetter']
304,Michael Kießling, CDU/CSU,[]
305,Sven-Christian Kindler, Bündnis 90/Die Grünen,['http://twitter.com/sven_kindler']
306,Dr. Georg Kippels, CDU/CSU,[]
307,Katja Kipping," Die Linke
         *",[]
308,Cansel Kiziltepe, SPD,['https://twitter.com/CanselK']
309,Helmut Kleebank, SPD,['https://mobile.twitter.com/helmut_kleebank']
310,Karsten Klein, FDP,['https://twitter.com/MdBKlein']
311,Dr. Ottilie Klein, CDU/CSU,['https://twitter.com/Ottilie_Klein']
312,Volkmar Klein, CDU/CSU,['http://twitter.com/VolkmarKlein']
313,Maria Klein-Schmeink, Bündnis 90/Die Grünen,['https://twitter.com/MariaKlSchmeink']
314,Norbert Kleinwächter, AfD,['https://twitter.com/NKleinwaechter']
315,Dr. Kristian Klinck, SPD,[]
316,Lars Klingbeil, SPD,['https://twitter.com/larsklingbeil']
317,Julia Klöckner, CDU/CSU,['http://www.twitter.com/JuliaKloeckner']
318,Annika Klose, SPD,['https://www.twitter.com/AnniKlose']
319,Daniela Kluckert, FDP,['https://twitter.com/DanielaKluckert']
320,Tim Klüssendorf, SPD,['http://www.twitter.com/timkluessendorf']
321,Axel Knoerig, CDU/CSU,['https://twitter.com/axel_knoerig']
322,Pascal Kober, FDP,['https://twitter.com/pascalkober']
323,Dr. Lukas Köhler, FDP,['https://twitter.com/koehler_fdp']
324,Anne König, CDU/CSU,['https://www.twitter.com/annekoenig_']
325,Jörn König, AfD,[]
326,Jens Koeppen, CDU/CSU,['https://twitter.com/JensKoeppen']
327,Carsten Körber, CDU/CSU,['https://www.twitter.com/carstenkoerber']
328,Dr. Bärbel Kofler, SPD,['https://twitter.com/BaerbelKofler?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor']
329,Enrico Komning, AfD,['https://twitter.com/enricokomning?lang=de']
330,Carina Konrad, FDP,['https://twitter.com/carina_konrad']
331,Markus Koob, CDU/CSU,[]
332,Chantal Kopf, Bündnis 90/Die Grünen,['https://twitter.com/chantal_kopf/']
333,Jan Korte, Die Linke,['https://twitter.com/jankortemdb']
334,Simona Koß, SPD,[]
335,Steffen Kotré, AfD,['https://twitter.com/SteffenKotre?lang=de']
336,Philip Krämer, Bündnis 90/Die Grünen,['https://twitter.com/PhiKraemer']
337,Laura Kraft, Bündnis 90/Die Grünen,['https://twitter.com/laura_kraft_']
338,Dr. Rainer Kraft, AfD,['https://twitter.com/Dr_Rainer_Kraft']
339,Anette Kramme, SPD,[]
340,Dunja Kreiser, SPD,[]
341,Gunther Krichbaum, CDU/CSU,[]
342,Dr. Günter Krings, CDU/CSU,[]
343,Oliver Krischer," Bündnis 90/Die Grünen
         *",[]
344,Martin Kröber, SPD,[]
345,Michael Kruse, FDP,['https://www.twitter.com/krusehamburg']
346,Tilman Kuban, CDU/CSU,['https://twitter.com/tkuban96']
347,Wolfgang Kubicki, FDP,[]
348,Christian Kühn (Tübingen), Bündnis 90/Die Grünen,['https://twitter.com/ChrisKuehn_mdb']
349,Kevin Kühnert, SPD,['https://twitter.com/KuehniKev']
350,Renate Künast, Bündnis 90/Die Grünen,['https://www.twitter.com/RenateKuenast']
351,Konstantin Kuhle, FDP,['https://twitter.com/konstantinkuhle?lang=de']
352,Markus Kurth, Bündnis 90/Die Grünen,[]
353,Sarah Lahrkamp, SPD,['https://twitter.com/slahrkamp']
354,Alexander Graf Lambsdorff, FDP,[]
355,Ricarda Lang, Bündnis 90/Die Grünen,['https://twitter.com/Ricarda_Lang']
356,Ulrich Lange, CDU/CSU,['https://twitter.com/UlrichLange']
357,Andreas Larem, SPD,[]
358,Armin Laschet, CDU/CSU,[]
359,Ina Latendorf, Die Linke,[]
360,Dr. Silke Launert, CDU/CSU,['http://www.twitter.com/DrLaunert']
361,Prof. Dr. Karl Lauterbach, SPD,['https://www.twitter.com/karl_lauterbach']
362,Caren Lay, Die Linke,[]
363,Ulrich Lechte, FDP,['https://twitter.com/ulrichlechte']
364,Jens Lehmann, CDU/CSU,[]
365,Sven Lehmann, Bündnis 90/Die Grünen,['https://twitter.com/svenlehmann']
366,Sylvia Lehmann, SPD,[]
367,Paul Lehrieder, CDU/CSU,[]
368,Dr. Katja Leikert, CDU/CSU,['https://www.twitter.com/KLeikert']
369,Kevin Leiser, SPD,['http://www.twitter.com/KLHohenlohe']
370,Steffi Lemke, Bündnis 90/Die Grünen,['https://twitter.com/SteffiLemke']
371,Jürgen Lenders, FDP,[]
372,Barbara Lenk, AfD,[]
373,Ralph Lenkert, Die Linke,[]
374,Dr. Andreas Lenz, CDU/CSU,['http://twitter.com/DerLenzMdB']
375,Christian Leye, Die Linke,['https://twitter.com/christian_leye']
376,Luiza Licina-Bode, SPD,['https://twitter.com/bodeluiza?lang=de']
377,Dr. Thorsten Lieb, FDP,['https://twitter.com/thorstenlieb']
378,Anja Liebert, Bündnis 90/Die Grünen,[]
379,Esra Limbacher, SPD,['https://twitter.com/esralimbacher']
380,Helge Limburg, Bündnis 90/Die Grünen,['https://www.twitter.com/Helge_Limburg']
381,Lars Lindemann, FDP,['https://twitter.com/lflindemann?lang=de']
382,Helge Lindh, SPD,['https://twitter.com/helgelindh']
383,Andrea Lindholz, CDU/CSU,['https://www.twitter.com/Andrea Lindholz/']
384,Christian Lindner, FDP,['https://twitter.com/c_lindner']
385,Dr. Tobias Lindner, Bündnis 90/Die Grünen,['https://twitter.com/tobiaslindner']
386,Michael Georg Link (Heilbronn), FDP,['https://twitter.com/michael_g_link']
387,Dr. Carsten Linnemann, CDU/CSU,[]
388,Patricia Lips, CDU/CSU,[]
389,Dr. Gesine Lötzsch, Die Linke,['https://twitter.com/LoetzschMdB']
390,Denise Loop, Bündnis 90/Die Grünen,['https://twitter.com/denise_loop']
391,Bernhard Loos, CDU/CSU,[]
392,Rüdiger Lucassen, AfD,['https://twitter.com/buerger2016']
393,Max Lucks, Bündnis 90/Die Grünen,['https://twitter.com/max_lucks']
394,Dr. Jan-Marco Luczak, CDU/CSU,['http://twitter.com/JM_Luczak']
395,Daniela Ludwig, CDU/CSU,['https://twitter.com/DaniLudwigMdB']
396,Dr. Anna Lührmann, Bündnis 90/Die Grünen,['https://twitter.com/AnnaLuehrmann']
397,Kristine Lütke, FDP,['https://twitter.com/kristine_lutke']
398,Bettina Lugk, SPD,['https://twitter.com/BettinaLugk']
399,Oliver Luksic, FDP,['https://twitter.com/olliluksic?lang=de']
400,Thomas Lutze, Die Linke,[]
401,Heiko Maas, SPD,['https://twitter.com/heikomaas']
402,Dr. Tanja Machalet, SPD,[]
403,Klaus Mack, CDU/CSU,[]
404,Isabel Mackensen-Geis, SPD,['https://twitter.com/IsabelMackensen']
405,Yvonne Magwas, CDU/CSU,['https://twitter.com/YvonneMagwas']
406,Erik von Malottki, SPD,['https://twitter.com/erikvonmalottki']
407,Holger Mann, SPD,['https://twitter.com/HolgerMannLE']
408,Till Mansmann, FDP,['https://www.twitter.com/tillmansmann?lang=en']
409,Kaweh Mansoori, SPD,[]
410,Dr. Zanda Martens, SPD,['https://twitter.com/zandamartens']
411,Dorothee Martin, SPD,['https://twitter.com/doro_martin']
412,Parsa Marvi, SPD,['https://twitter.com/ParsaMarvi']
413,Franziska Mascheck, SPD,['https://twitter.com/f_mascheck']
414,Katja Mast, SPD,['https://twitter.com/KatjaMast']
415,Andreas Mattfeldt, CDU/CSU,[]
416,Stephan Mayer (Altötting), CDU/CSU,[]
417,Zoe Mayer, Bündnis 90/Die Grünen,['https://twitter.com/zoe_gruene']
418,Volker Mayer-Lay, CDU/CSU,[]
419,Andreas Mehltretter, SPD,['https://twitter.com/Mehli']
420,Takis Mehmet Ali, SPD,['https://twitter.com/TakisMehmetAli1']
421,Pascal Meiser, Die Linke,['https://twitter.com/pascalmeiser?lang=de']
422,Dr. Michael Meister, CDU/CSU,['https://twitter.com/meister_schafft?lang=de']
423,Susanne Menge, Bündnis 90/Die Grünen,[]
424,Friedrich Merz, CDU/CSU,['https://twitter.com/_FriedrichMerz']
425,Robin Mesarosch, SPD,['http://www.twitter.com/mesarosch']
426,Jan Metzler, CDU/CSU,[]
427,Christoph Meyer, FDP,['https://twitter.com/Meyer_FDP']
428,Corinna Miazga, AfD,[]
429,Swantje Henrike Michaelsen, Bündnis 90/Die Grünen,['https://twitter.com/SwantjeMichael1']
430,Kathrin Michel, SPD,['https://www.twitter.com/@Kthrn_Mchl_SPD']
431,Dr. Mathias Middelberg, CDU/CSU,[]
432,Dr. Matthias Miersch, SPD,[]
433,Matthias David Mieves, SPD,[]
434,Dr. Irene Mihalic, Bündnis 90/Die Grünen,['http://www.twitter.com/IreneMihalic']
435,Boris Mijatović, Bündnis 90/Die Grünen,['https://twitter.com/borismijatovic']
436,Susanne Mittag, SPD,[]
437,Cornelia Möhring, Die Linke,['https://twitter.com/Conni_Moehring']
438,Siemtje Möller, SPD,['https://twitter.com/SiemtjeMdB']
439,Maximilian Mörseburg, CDU/CSU,['http://www.twitter.com/maxmoerseburg']
440,Amira Mohamed Ali, Die Linke,['https://twitter.com/Amira_M_Ali']
441,Falko Mohrs," SPD
         *",[]
442,Claudia Moll, SPD,['https://twitter.com/ClaudiaMollMdB']
443,Mike Moncsek, AfD,[]
444,Dietrich Monstadt, CDU/CSU,[]
445,Matthias Moosdorf, AfD,[]
446,Maximilian Mordhorst, FDP,['https://twitter.com/maxmordhorst']
447,Alexander Müller, FDP,['https://twitter.com/alexmuellerfdp']
448,Axel Müller, CDU/CSU,[]
449,Bettina Müller, SPD,['http://twitter.com/BetMueller']
450,Carsten Müller (Braunschweig), CDU/CSU,['http://twitter.com/mdbmuller']
451,Claudia Müller, Bündnis 90/Die Grünen,['https://twitter.com/gruenclaudia']
452,Detlef Müller (Chemnitz), SPD,['https://twitter.com/MuellerChemnitz']
453,Florian Müller, CDU/CSU,[]
454,Michael Müller, SPD,[]
455,Sascha Müller, Bündnis 90/Die Grünen,['https://twitter.com/SaschaMuller']
456,Sepp Müller, CDU/CSU,['https://twitter.com/mueller_sepp?lang=de']
457,Stefan Müller (Erlangen), CDU/CSU,['https://twitter.com/smuellermdb']
458,Beate Müller-Gemmeke, Bündnis 90/Die Grünen,['http://twitter.com/gruenebeate']
459,Frank Müller-Rosentritt, FDP,['https://twitter.com/theliberalfrank']
460,Michelle Müntefering, SPD,['http://twitter.com/mi_Muentefering']
461,Sebastian Münzenmaier, AfD,['http://twitter.de/S_Muenzenmaier/']
462,Dr. Rolf Mützenich, SPD,[]
463,Dr. Stefan Nacke, CDU/CSU,[]
464,Sara Nanni, Bündnis 90/Die Grünen,['https://twitter.com/SaraNanni/']
465,Rasha Nasr, SPD,['https://twitter.com/rasha_nasr_']
466,Zaklin Nastic, Die Linke,['http://www.twitter.com/zaklinnastic']
467,Edgar Naujok, AfD,['https://twitter.com/edgar_naujok']
468,Dr. Ingrid Nestle, Bündnis 90/Die Grünen,['https://twitter.com/ingrid_nestle']
469,Dr. Ophelia Nick, Bündnis 90/Die Grünen,['https://twitter.com/OpheliaNick']
470,Brian Nickholz, SPD,['https://twitter.com/BrianNickholz']
471,Petra Nicolaisen, CDU/CSU,[]
472,Dietmar Nietan, SPD,[]
473,Jan Ralf Nolte, AfD,['https://twitter.com/Jan_Nolte_AfD']
474,Dr. Konstantin von Notz, Bündnis 90/Die Grünen,['http://twitter.com/KonstantinNotz']
475,Omid Nouripour, Bündnis 90/Die Grünen,['http://twitter.com/nouripour']
476,Jörg Nürnberger, SPD,['https://twitter.com/joergnurnberger']
477,Lennard Oehl, SPD,['https://www.twitter.com/lennardoehl']
478,Wilfried Oellers, CDU/CSU,[]
479,Cem Özdemir, Bündnis 90/Die Grünen,['http://www.twitter.com/cem_oezdemir']
480,Mahmut Özdemir (Duisburg), SPD,['https://twitter.com/oezdemir_spd']
481,Aydan Özoğuz, SPD,['https://twitter.com/oezoguz']
482,Moritz Oppelt, CDU/CSU,['https://twitter.com/moritzoppelt']
483,Josephine Ortleb, SPD,['https://twitter.com/josephineortleb']
484,Florian Oßner, CDU/CSU,['https://twitter.com/Florian_Ossner']
485,Josef Oster, CDU/CSU,['https://twitter.com/josefoster']
486,Henning Otte, CDU/CSU,['www.twitter.com/vtdgsprecher']
487,Karoline Otte, Bündnis 90/Die Grünen,['https://twitter.com/karo_otte']
488,Gerold Otten, AfD,[]
489,Julian Pahlke, Bündnis 90/Die Grünen,['https://twitter.com/J_Pahlke']
490,Dr. Christos Pantazis, SPD,['https://twitter.com/Dr_Pantazis']
491,Wiebke Papenbrock, SPD,[]
492,Mathias Papendieck, SPD,['https://twitter.com/m_papendieck?lang=de']
493,Petra Pau, Die Linke,['https://twitter.com/PetraPauMaHe']
494,Lisa Paus, Bündnis 90/Die Grünen,['https://twitter.com/@lisapaus']
495,Natalie Pawlik, SPD,['https://twitter.com/natalie_pawlik']
496,Jens Peick, SPD,['https://twitter.com/jenspeick']
497,Sören Pellmann, Die Linke,['https://twitter.com/linkepelli?lang=de']
498,Victor Perli, Die Linke,['https://twitter.com/victorperli']
499,Tobias Matthias Peterka, AfD,['https://twitter.com/TobiasMPeterka?lang=de']
500,Christian Petry, SPD,['https://twitter.com/CPetryMdB']
501,Dr. Andreas Philippi, SPD,['https://twitter.com/philippispd']
502,Dr. med. Paula Piechotta, Bündnis 90/Die Grünen,['https://twitter.com/PaulaPiechotta']
503,Stephan Pilsinger, CDU/CSU,[]
504,Jan Plobner, SPD,[]
505,Dr. Christoph Ploß, CDU/CSU,['https://twitter.com/christophploss']
506,Dr. Martin Plum, CDU/CSU,[]
507,Jürgen Pohl, AfD,[]
508,Filiz Polat, Bündnis 90/Die Grünen,['https://twitter.com/filizgreen']
509,Sabine Poschmann, SPD,[]
510,Achim Post (Minden), SPD,[]
511,Stephan Protschka, AfD,['https://twitter.com/AfDProtschka']
512,Thomas Rachel, CDU/CSU,['https://twitter.com/_thomasrachel?lang=de']
513,Kerstin Radomski, CDU/CSU,[]
514,Alexander Radwan, CDU/CSU,['https://www.twitter.com/AlexanderRadwan']
515,Claudia Raffelhüschen, FDP,[]
516,Alois Rainer, CDU/CSU,['https://twitter.com/AloisRainer']
517,Dr. Peter Ramsauer, CDU/CSU,[]
518,Dr. Volker Redder, FDP,['https://twitter.com/docredder']
519,Henning Rehbaum, CDU/CSU,['https://twitter.com/henningrehbaum?lang=de']
520,Martin Reichardt, AfD,['https://twitter.com/M_Reichardt_AfD']
521,Dr. Markus Reichel, CDU/CSU,['https://twitter.com/MarkusReichelDD']
522,Heidi Reichinnek, Die Linke,['https://twitter.com/HeidiReichinnek']
523,Dr. Anja Reinalter, Bündnis 90/Die Grünen,[]
524,Hagen Reinhold, FDP,['https://twitter.com/reinholdmdb']
525,Martin Erwin Renner, AfD,['https://twitter.com/Renner_AfD']
526,Martina Renner, Die Linke,['https://twitter.com/martinarenner']
527,Bernd Reuther, FDP,['https://twitter.com/reuther_bernd']
528,Ye-One Rhie, SPD,['https://twitter.com/yeone_rhie']
529,Josef Rief, CDU/CSU,[]
530,Bernd Riexinger, Die Linke,['https://twitter.com/b_riexinger']
531,Andreas Rimkus, SPD,['https://twitter.com/Andreas_Rimkus']
532,Frank Rinck, AfD,[]
533,Daniel Rinkert, SPD,['https://twitter.com/danielrinkert?lang=de']
534,Sönke Rix, SPD,['http://twitter.com/SoenkeRix']
535,Tabea Rößner, Bündnis 90/Die Grünen,['https://www.twitter.com/TabeaRoessner']
536,Dr. Norbert Röttgen, CDU/CSU,['https://www.twitter.com/n_roettgen']
537,Thomas Röwekamp, CDU/CSU,['https://twitter.com/tr_bremen']
538,Dennis Rohde, SPD,[]
539,Lars Rohwer, CDU/CSU,[]
540,Sebastian Roloff, SPD,['https://twitter.com/SebRoloff']
541,Dr. Martin Rosemann, SPD,[]
542,Jessica Rosenthal, SPD,['https://twitter.com/jessi_rosenthal']
543,Claudia Roth (Augsburg), Bündnis 90/Die Grünen,[]
544,Michael Roth (Heringen), SPD,['https://twitter.com/MiRo_SPD']
545,Dr. Manuela Rottmann, Bündnis 90/Die Grünen,[]
546,Stefan Rouenhoff, CDU/CSU,['https://twitter.com/stefanrouenhoff']
547,Dr. Thorsten Rudolph, SPD,['http://www.twitter.com/jethoru']
548,Tina Rudolph, SPD,[]
549,Erwin Rüddel, CDU/CSU,['http://twitter.com/Erwin_Rueddel']
550,Corinna Rüffer, Bündnis 90/Die Grünen,[]
551,Bernd Rützel, SPD,[]
552,Albert Rupprecht, CDU/CSU,[]
553,Sarah Ryglewski, SPD,['https://www.twitter.com/RyglewskiS']
554,Johann Saathoff, SPD,['http://www.twitter.com/@johann_saathoff']
555,Michael Sacher, Bündnis 90/Die Grünen,['https://twitter.com/sacher_mchl']
556,Catarina dos Santos-Wintz, CDU/CSU,['https://twitter.com/CatarinaDosSa']
557,Dr. h. c. Thomas Sattelberger," FDP
         *",[]
558,Christian Sauter, FDP,['https://twitter.com/chr_sauter']
559,Axel Schäfer (Bochum), SPD,[]
560,Ingo Schäfer, SPD,['https://twitter.com/ingoschaeferspd']
561,Jamila Schäfer, Bündnis 90/Die Grünen,['http://twitter.com/jamila_anna']
562,Dr. Sebastian Schäfer, Bündnis 90/Die Grünen,['https://twitter.com/sebastian_es_']
563,Frank Schäffler, FDP,['https://twitter.com/f_schaeffler']
564,Johannes Schätzl, SPD,['http://twitter.com/schaetzlJo']
565,Dr. Wolfgang Schäuble, CDU/CSU,[]
566,Rebecca Schamber, SPD,[]
567,Bernd Schattner, AfD,[]
568,Ulle Schauws, Bündnis 90/Die Grünen,['https://twitter.com/ulle_schauws']
569,Dr. Nina Scheer, SPD,['https://twitter.com/NinaScheer_SPD']
570,Dr. Christiane Schenderlein, CDU/CSU,[]
571,Andreas Scheuer, CDU/CSU,['https://twitter.com/andreasscheuer']
